Time [s],Value,Parity Error,Framing Error
39.887873999999996,0,,
39.888914999999997,\x01,,
39.889963000000002,U,,
39.891007999999999,0,,
39.892040000000001,?,,
39.893090999999998,0,,
39.894123000000000,6,,
39.895164999999999,3,,
39.896206999999997,0,,
39.897247999999998,0,,
39.898290000000003,0,,
40.128599000000001,\x01,,
40.129638999999997,C,,
40.130678000000003,2,,
40.131718999999997,\x01,,
40.132761000000002,U,,
40.133802000000003,0,,
40.134844000000001,>,,
40.135885000000002,0,,
40.136927000000000,6,,
40.137968999999998,3,,
40.139009999999999,0,,
40.140051999999997,0,,
40.141094000000002,0,,
40.378481000000001,\x01,,
40.379522999999999,U,,
40.380564000000000,2,,
40.381605999999998,2,,
40.382646999999999,0,,
40.383688999999997,7,,
40.384731000000002,2,,
40.385772000000003,@,,
40.386814000000001,8,,
40.387855999999999,0,,
40.388897000000000,\x01,,
40.389938999999998,U,,
40.390988000000000,0,,
40.392133000000001,?,,
40.393172999999997,0,,
40.394210000000001,6,,
40.395257000000001,3,,
40.396293000000000,0,,
40.397337000000000,0,,
40.398375999999999,0,,
40.628580999999997,\x01,,
40.629618000000001,C,,
40.630662999999998,2,,
40.631706999999999,\x01,,
40.632742999999998,U,,
40.633783999999999,0,,
40.634830000000001,>,,
40.635866999999998,0,,
40.636913999999997,6,,
40.637956000000003,3,,
40.638992000000002,0,,
40.640039000000002,0,,
40.641075999999998,0,,
40.878464000000001,\x01,,
40.879505000000002,U,,
40.880546000000002,2,,
40.881588000000001,2,,
40.882632999999998,0,,
40.883671000000000,7,,
40.884721999999996,2,,
40.885753999999999,@,,
40.886799000000003,8,,
40.887838000000002,0,,
40.888879000000003,\x01,,
40.889921000000001,U,,
40.890962000000002,0,,
40.892108000000000,?,,
40.893149999999999,0,,
40.894191999999997,6,,
40.895240000000001,3,,
40.896275000000003,0,,
40.897317000000001,0,,
40.898358000000002,0,,
41.128453999999998,\x01,,
41.129497000000001,C,,
41.130536999999997,2,,
41.131579000000002,\x01,,
41.132620000000003,E,,
41.133662000000001,2,,
41.134706000000001,\x01,,
41.135745999999997,U,,
41.136786999999998,0,,
41.137829000000004,>,,
41.138869999999997,0,,
41.139915000000002,6,,
41.140953000000003,3,,
41.142313000000001,0,,
41.143349999999998,0,,
41.144390999999999,0,,
42.178519999999999,\x01,,
42.179561999999997,U,,
42.180604000000002,1,,
42.181652000000000,1,,
42.182690000000001,1,,
42.183728000000002,1,,
42.184770000000000,2,,
42.185811999999999,`,,
42.186855000000001,8,,
42.187905000000001,0,,
42.188938999999998,\x01,,
42.189978000000004,U,,
42.191020000000002,1,,
42.192062000000000,0,,
42.193103000000001,8,,
42.194144999999999,1,,
42.195186000000000,2,,
42.196227999999998,h,,
42.197271999999998,8,,
42.198310999999997,0,,
42.199353000000002,\x01,,
42.200395000000000,U,,
42.201436000000001,1,,
42.202478999999997,0,,
42.203524000000002,1,,
42.204560999999998,1,,
42.205603000000004,2,,
42.206645000000002,p,,
42.207686000000002,8,,
42.208734000000000,0,,
42.209769000000001,\x01,,
42.210816000000001,U,,
42.212060999999999,1,,
42.213101999999999,1,,
42.214143999999997,1,,
42.215186000000003,1,,
42.216227000000003,2,,
42.217269000000002,D,,
42.218311000000000,8,,
42.219352000000001,0,,
42.220395000000003,\x01,,
42.221446000000000,U,,
42.222476999999998,1,,
42.223520000000001,0,,
42.224559999999997,1,,
42.225602000000002,1,,
42.226644000000000,2,,
42.227685000000001,L,,
42.228726999999999,8,,
42.229768000000000,0,,
42.308517000000002,\x01,,
42.309556999999998,U,,
42.310605000000002,1,,
42.311641000000002,1,,
42.312686999999997,1,,
42.313724000000001,1,,
42.314770000000003,2,,
42.315807000000000,`,,
42.316848999999998,8,,
42.317889999999998,0,,
42.318936999999998,\x01,,
42.319974000000002,U,,
42.321015000000003,1,,
42.322265000000002,0,,
42.323315999999998,8,,
42.324348000000001,1,,
42.325389999999999,2,,
42.326431999999997,h,,
42.327472999999998,8,,
42.328519999999997,0,,
42.329557000000001,\x01,,
42.330598000000002,U,,
42.331640000000000,1,,
42.332684999999998,0,,
42.333722999999999,0,,
42.334769999999999,1,,
42.335805999999998,2,,
42.336849000000001,p,,
42.337898000000003,8,,
42.338931000000002,0,,
42.339973000000001,\x01,,
42.341014000000001,U,,
42.342264999999998,1,,
42.343305999999998,1,,
42.344347999999997,1,,
42.345388999999997,1,,
42.346431000000003,2,,
42.347473000000001,D,,
42.348517999999999,8,,
42.349556000000000,0,,
42.350597000000000,\x01,,
42.351638999999999,U,,
42.352680999999997,1,,
42.353721999999998,0,,
42.354764000000003,0,,
42.355817000000002,1,,
42.356847000000002,2,,
42.357889999999998,L,,
42.358936000000000,8,,
42.359971999999999,0,,
42.361013999999997,\x01,,
42.362271999999997,E,,
42.363306000000001,5,,
42.364347000000002,\x01,,
42.365389000000000,U,,
42.366430000000001,0,,
42.367471999999999,>,,
42.368518000000002,0,,
42.369560999999997,6,,
42.370596999999997,3,,
42.371637999999997,0,,
42.372680000000003,0,,
42.373722000000001,0,,
42.608505000000001,\x01,,
42.609546000000002,U,,
42.610588000000000,2,,
42.611635000000000,2,,
42.612673999999998,0,,
42.613712999999997,7,,
42.614755000000002,2,,
42.615796000000003,@,,
42.616838000000001,8,,
42.617880000000000,0,,
42.618929000000001,\x01,,
42.619962999999998,U,,
42.621006000000001,0,,
42.622253999999998,?,,
42.623308000000002,0,,
42.624338000000002,6,,
42.625379000000002,3,,
42.626421000000001,0,,
42.627462000000001,0,,
42.628504000000000,0,,
42.858496000000002,\x01,,
42.859544000000000,C,,
42.860579000000001,2,,
42.861621999999997,\x01,,
42.862667000000002,U,,
42.863709000000000,0,,
42.864745999999997,>,,
42.865786999999997,0,,
42.866829000000003,6,,
42.867871000000001,3,,
42.868918000000001,0,,
42.869954000000000,0,,
42.870995999999998,0,,
43.108486999999997,\x01,,
43.109527999999997,U,,
43.110570000000003,2,,
43.111612000000001,2,,
43.112653000000002,0,,
43.113695000000000,7,,
43.114736999999998,2,,
43.115777999999999,@,,
43.116819999999997,8,,
43.117862000000002,0,,
43.118903000000003,\x01,,
43.119945000000001,U,,
43.120986000000002,0,,
43.122236000000001,?,,
43.123277999999999,0,,
43.124322999999997,6,,
43.125360999999998,3,,
43.126403000000003,0,,
43.127445999999999,0,,
43.128486000000002,0,,
43.358378999999999,\x01,,
43.359416000000003,C,,
43.360456999999997,2,,
43.361500999999997,\x01,,
43.362544999999997,U,,
43.363582000000001,0,,
43.364626000000001,>,,
43.365665000000000,0,,
43.366709000000000,6,,
43.367747999999999,3,,
43.368789999999997,0,,
43.369832000000002,0,,
43.370877999999998,0,,
