Time [s], Analyzer Name, Decoded Protocol Result
2.499510680000000,SPI,MOSI: 0x1860000;  MISO: 0x3FEFFFF
2.503523720000000,SPI,MOSI: 0x1870000;  MISO: 0x3FEFFFF
2.511546840000000,SPI,MOSI: 0x1880000;  MISO: 0x3FEFFFF
2.515557900000000,SPI,MOSI: 0x1890000;  MISO: 0x3FEFFFF
2.519570940000000,SPI,MOSI: 0x18A0000;  MISO: 0x3FEFFFF
2.523583000000000,SPI,MOSI: 0x18B0000;  MISO: 0x3FEFFFF
2.531607120000000,SPI,MOSI: 0x18C0000;  MISO: 0x3FEFFFF
2.535619160000000,SPI,MOSI: 0x18D0000;  MISO: 0x3FEFFFF
2.539631220000000,SPI,MOSI: 0x18E0000;  MISO: 0x3FEFFFF
2.543643280000000,SPI,MOSI: 0x18F0000;  MISO: 0x3FEFFFF
2.551670380000000,SPI,MOSI: 0x1900000;  MISO: 0x3FE0010
2.555679440000000,SPI,MOSI: 0x1910000;  MISO: 0x3FEA707
2.559688500000000,SPI,MOSI: 0x1920000;  MISO: 0x3FEDA99
2.563703560000000,SPI,MOSI: 0x1930000;  MISO: 0x3FEB0CA
2.571730660000000,SPI,MOSI: 0x1940000;  MISO: 0x3FEFF9D
2.575739720000000,SPI,MOSI: 0x1950000;  MISO: 0x3FEFD00
2.579748780000000,SPI,MOSI: 0x1960000;  MISO: 0x3FE5EF1
2.583763840000000,SPI,MOSI: 0x1970000;  MISO: 0x3FEFF4E
2.591790940000000,SPI,MOSI: 0x1980000;  MISO: 0x3FEFFFF
2.595800000000000,SPI,MOSI: 0x1990000;  MISO: 0x3FEFFFF
2.599811060000000,SPI,MOSI: 0x19A0000;  MISO: 0x3FEFFFF
2.603824100000000,SPI,MOSI: 0x19B0000;  MISO: 0x3FEFFFF
2.611851220000000,SPI,MOSI: 0x19C0000;  MISO: 0x3FEFFFF
2.615857280000000,SPI,MOSI: 0x19D0000;  MISO: 0x3FEFFFF
2.619872320000000,SPI,MOSI: 0x19E0000;  MISO: 0x3FEFFFF
2.623884380000000,SPI,MOSI: 0x19F0000;  MISO: 0x3FEFFFF
2.631910500000000,SPI,MOSI: 0x1A00000;  MISO: 0x3FEFFFF
2.635920540000000,SPI,MOSI: 0x1A10000;  MISO: 0x3FEFFFF
2.639932600000000,SPI,MOSI: 0x1A20000;  MISO: 0x3FEFFFF
2.643944660000000,SPI,MOSI: 0x1A30000;  MISO: 0x3FEFFFF
2.651968760000000,SPI,MOSI: 0x1A40000;  MISO: 0x3FEFFFF
2.655980820000000,SPI,MOSI: 0x1A50000;  MISO: 0x3FEFFFF
2.659992880000000,SPI,MOSI: 0x1A60000;  MISO: 0x3FEFFFF
2.664002940000000,SPI,MOSI: 0x1A70000;  MISO: 0x3FEFFFF
2.672032040000000,SPI,MOSI: 0x1A80000;  MISO: 0x3FEFFFF
2.676040100000000,SPI,MOSI: 0x1A90000;  MISO: 0x3FEFFFF
2.680052160000000,SPI,MOSI: 0x1AA0000;  MISO: 0x3FEFFFF
2.684065220000000,SPI,MOSI: 0x1AB0000;  MISO: 0x3FEFFFF
2.692089320000000,SPI,MOSI: 0x1AC0000;  MISO: 0x3FEFFFF
2.696100380000000,SPI,MOSI: 0x1AD0000;  MISO: 0x3FEFFFF
2.700113440000000,SPI,MOSI: 0x1AE0000;  MISO: 0x3FEFFFF
2.704126480000000,SPI,MOSI: 0x1AF0000;  MISO: 0x3FEFFFF
2.712149600000000,SPI,MOSI: 0x1B00000;  MISO: 0x3FEFFFF
2.716158660000000,SPI,MOSI: 0x1B10000;  MISO: 0x3FEFFFF
2.720173700000000,SPI,MOSI: 0x1B20000;  MISO: 0x3FEFFFF
2.724186760000000,SPI,MOSI: 0x1B30000;  MISO: 0x3FEFFFF
2.732211880000000,SPI,MOSI: 0x1B40000;  MISO: 0x3FEFFFF
2.736220920000000,SPI,MOSI: 0x1B50000;  MISO: 0x3FEFFFF
2.740233980000000,SPI,MOSI: 0x1B60000;  MISO: 0x3FEFFFF
2.744246040000000,SPI,MOSI: 0x1B70000;  MISO: 0x3FEFFFF
2.752270140000000,SPI,MOSI: 0x1B80000;  MISO: 0x3FEFFFF
2.756281200000000,SPI,MOSI: 0x1B90000;  MISO: 0x3FEFFFF
2.760294260000000,SPI,MOSI: 0x1BA0000;  MISO: 0x3FEFFFF
2.764307320000000,SPI,MOSI: 0x1BB0000;  MISO: 0x3FEFFFF
2.772333420000000,SPI,MOSI: 0x1BC0000;  MISO: 0x3FEE2FF
2.776342480000000,SPI,MOSI: 0x1BD0000;  MISO: 0x3FEFFFF
2.780354540000000,SPI,MOSI: 0x1BE0000;  MISO: 0x3FEFFFF
2.784367580000000,SPI,MOSI: 0x1BF0000;  MISO: 0x3FEFFFF
2.792392700000000,SPI,MOSI: 0x1800000;  MISO: 0x3FEFFFF
2.796401760000000,SPI,MOSI: 0x1810000;  MISO: 0x3FEFFFF
2.800414800000000,SPI,MOSI: 0x1820000;  MISO: 0x3FEFFFF
2.804426860000000,SPI,MOSI: 0x1830000;  MISO: 0x3FEFFFF
2.812453980000000,SPI,MOSI: 0x1840000;  MISO: 0x3FEFFFF
2.816462040000000,SPI,MOSI: 0x1850000;  MISO: 0x3FEFFFF
2.820472080000000,SPI,MOSI: 0x1860000;  MISO: 0x3FEFFFF
2.824488140000000,SPI,MOSI: 0x1870000;  MISO: 0x3FEFFFF
2.832514240000000,SPI,MOSI: 0x1880000;  MISO: 0x3FEFFFF
2.836523300000000,SPI,MOSI: 0x1890000;  MISO: 0x3FEFFFF
2.840535360000000,SPI,MOSI: 0x18A0000;  MISO: 0x3FEFFFF
2.844547420000000,SPI,MOSI: 0x18B0000;  MISO: 0x3FEFFFF
2.852574520000000,SPI,MOSI: 0x18C0000;  MISO: 0x3FEFFFF
2.856583580000000,SPI,MOSI: 0x18D0000;  MISO: 0x3FEFFFF
2.860595640000000,SPI,MOSI: 0x18E0000;  MISO: 0x3FEFFFF
2.864608680000000,SPI,MOSI: 0x18F0000;  MISO: 0x3FEFFFF
2.872634800000000,SPI,MOSI: 0x1900000;  MISO: 0x3FE0010
2.876643860000000,SPI,MOSI: 0x1910000;  MISO: 0x3FEA707
2.880654900000000,SPI,MOSI: 0x1920000;  MISO: 0x3FEDA99
2.884668960000000,SPI,MOSI: 0x1930000;  MISO: 0x3FEB0CA
2.892694080000000,SPI,MOSI: 0x1940000;  MISO: 0x3FEFF9D
2.896704120000000,SPI,MOSI: 0x1950000;  MISO: 0x3FEFD00
2.900716180000000,SPI,MOSI: 0x1960000;  MISO: 0x3FE5EF1
2.904729240000000,SPI,MOSI: 0x1970000;  MISO: 0x3FEFF4E
2.912754340000000,SPI,MOSI: 0x1980000;  MISO: 0x3FEFFFF
2.916761400000000,SPI,MOSI: 0x1990000;  MISO: 0x3FEFFFF
2.920776460000000,SPI,MOSI: 0x19A0000;  MISO: 0x3FEFFFF
2.924788500000000,SPI,MOSI: 0x19B0000;  MISO: 0x3FEFFFF
2.932815620000000,SPI,MOSI: 0x19C0000;  MISO: 0x3FEFFFF
2.936821680000000,SPI,MOSI: 0x19D0000;  MISO: 0x3FEFFFF
2.940833740000000,SPI,MOSI: 0x19E0000;  MISO: 0x3FEFFFF
2.944848780000000,SPI,MOSI: 0x19F0000;  MISO: 0x3FEFFFF
2.952874900000000,SPI,MOSI: 0x1A00000;  MISO: 0x3FEFFFF
2.956884940000000,SPI,MOSI: 0x1A10000;  MISO: 0x3FEFFFF
2.960897000000000,SPI,MOSI: 0x1A20000;  MISO: 0x3FEFFFF
2.964909060000000,SPI,MOSI: 0x1A30000;  MISO: 0x3FEFFFF
2.972935160000000,SPI,MOSI: 0x1A40000;  MISO: 0x3FEFFFF
2.976944220000000,SPI,MOSI: 0x1A50000;  MISO: 0x3FEFFFF
2.980957280000000,SPI,MOSI: 0x1A60000;  MISO: 0x3FEFFFF
2.984969340000000,SPI,MOSI: 0x1A70000;  MISO: 0x3FEFFFF
2.992996440000000,SPI,MOSI: 0x1A80000;  MISO: 0x3FEFFFF
2.997004500000000,SPI,MOSI: 0x1A90000;  MISO: 0x3FEFFFF
3.001016560000000,SPI,MOSI: 0x1AA0000;  MISO: 0x3FEFFFF
3.005029600000000,SPI,MOSI: 0x1AB0000;  MISO: 0x3FEFFFF
3.013055720000000,SPI,MOSI: 0x1AC0000;  MISO: 0x3FEFFFF
3.017062780000000,SPI,MOSI: 0x1AD0000;  MISO: 0x3FEFFFF
3.021076820000000,SPI,MOSI: 0x1AE0000;  MISO: 0x3FEFFFF
3.025089880000000,SPI,MOSI: 0x1AF0000;  MISO: 0x3FEFFFF
3.033116980000000,SPI,MOSI: 0x1B00000;  MISO: 0x3FEFFFF
3.037125040000000,SPI,MOSI: 0x1B10000;  MISO: 0x3FEFFFF
3.041137100000000,SPI,MOSI: 0x1B20000;  MISO: 0x3FEFFFF
3.045150140000000,SPI,MOSI: 0x1B30000;  MISO: 0x3FEFFFF
3.053176260000000,SPI,MOSI: 0x1B40000;  MISO: 0x3FEFFFF
3.057185320000000,SPI,MOSI: 0x1B50000;  MISO: 0x3FEFFFF
3.061197360000000,SPI,MOSI: 0x1B60000;  MISO: 0x3FEFFFF
3.065211420000000,SPI,MOSI: 0x1B70000;  MISO: 0x3FEFFFF
3.073237520000000,SPI,MOSI: 0x1B80000;  MISO: 0x3FEFFFF
3.077246580000000,SPI,MOSI: 0x1B90000;  MISO: 0x3FEFFFF
3.081258640000000,SPI,MOSI: 0x1BA0000;  MISO: 0x3FEFFFF
3.085268700000000,SPI,MOSI: 0x1BB0000;  MISO: 0x3FEFFFF
3.093296800000000,SPI,MOSI: 0x1BC0000;  MISO: 0x3FEE2FF
3.097305860000000,SPI,MOSI: 0x1BD0000;  MISO: 0x3FEFFFF
3.101318920000000,SPI,MOSI: 0x1BE0000;  MISO: 0x3FEFFFF
3.105331960000000,SPI,MOSI: 0x1BF0000;  MISO: 0x3FEFFFF
3.113358080000000,SPI,MOSI: 0x1800000;  MISO: 0x3FEFFFF
3.117367140000000,SPI,MOSI: 0x1810000;  MISO: 0x3FEFFFF
3.121378180000000,SPI,MOSI: 0x1820000;  MISO: 0x3FEFFFF
3.125392240000000,SPI,MOSI: 0x1830000;  MISO: 0x3FEFFFF
3.133418340000000,SPI,MOSI: 0x1840000;  MISO: 0x3FEFFFF
3.137427400000000,SPI,MOSI: 0x1850000;  MISO: 0x3FEFFFF
3.141439460000000,SPI,MOSI: 0x1860000;  MISO: 0x3FEFFFF
3.145451520000000,SPI,MOSI: 0x1870000;  MISO: 0x3FEFFFF
3.153477620000000,SPI,MOSI: 0x1880000;  MISO: 0x3FEFFFF
3.157486680000000,SPI,MOSI: 0x1890000;  MISO: 0x3FEFFFF
3.161498740000000,SPI,MOSI: 0x18A0000;  MISO: 0x3FEFFFF
3.165511780000000,SPI,MOSI: 0x18B0000;  MISO: 0x3FEFFFF
3.173538900000000,SPI,MOSI: 0x18C0000;  MISO: 0x3FEFFFF
3.177546940000000,SPI,MOSI: 0x18D0000;  MISO: 0x3FEFFFF
3.181559000000000,SPI,MOSI: 0x18E0000;  MISO: 0x3FEFFFF
3.185572060000000,SPI,MOSI: 0x18F0000;  MISO: 0x3FEFFFF
3.193598160000000,SPI,MOSI: 0x1900000;  MISO: 0x3FE0010
3.197605220000000,SPI,MOSI: 0x1910000;  MISO: 0x3FEA707
3.201620280000000,SPI,MOSI: 0x1920000;  MISO: 0x3FEDA99
3.205632320000000,SPI,MOSI: 0x1930000;  MISO: 0x3FEB0CA
3.213658440000000,SPI,MOSI: 0x1940000;  MISO: 0x3FEFF9D
3.217668500000000,SPI,MOSI: 0x1950000;  MISO: 0x3FEFD00
3.221680540000000,SPI,MOSI: 0x1960000;  MISO: 0x3FE5EF1
3.225692600000000,SPI,MOSI: 0x1970000;  MISO: 0x3FEFF4E
3.233719700000000,SPI,MOSI: 0x1980000;  MISO: 0x3FEFFFF
3.237728760000000,SPI,MOSI: 0x1990000;  MISO: 0x3FEFFFF
3.241739820000000,SPI,MOSI: 0x19A0000;  MISO: 0x3FEFFFF
3.245752880000000,SPI,MOSI: 0x19B0000;  MISO: 0x3FEFFFF
3.253779980000000,SPI,MOSI: 0x19C0000;  MISO: 0x3FEFFFF
3.257789040000000,SPI,MOSI: 0x19D0000;  MISO: 0x3FEFFFF
3.261801080000000,SPI,MOSI: 0x19E0000;  MISO: 0x3FEFFFF
3.265811140000000,SPI,MOSI: 0x19F0000;  MISO: 0x3FEFFFF
3.273839240000000,SPI,MOSI: 0x1A00000;  MISO: 0x3FEFFFF
3.277849300000000,SPI,MOSI: 0x1A10000;  MISO: 0x3FEFFFF
3.281861360000000,SPI,MOSI: 0x1A20000;  MISO: 0x3FEFFFF
3.285874420000000,SPI,MOSI: 0x1A30000;  MISO: 0x3FEFFFF
